komentar,cleaned,sentimen,emosi
Kok tega banget yaa..itu orang lagi kesusahan bapaknya masuk icu..iblis aja sujud dah sama kelakuan dokter bejad satu itu😢,kok tega banget orang susah bapak masuk iblis aja sujuah sama laku dokter bejad satu itu,Negatif,Sedih
Kebanyakan nonton xnx gw rasa,kebanyakaonton xnx g,Negatif,Lainnya
Lu kan dokter bang,lu kan dokter,Negatif,Lainnya
"Cabut batalkan ijasah dokter dan ijinnya, hukum sesuai uu",cabut batal ijasah dokter hukum sesuai,Netral,Lainnya
Usut tuntas penjarakan ..jangan2 ada korban yg lainnya juga,usuuntas jangan korban yg laiya,Negatif,Lainnya
Tampangin juga muka si satpam nya,tampangin muka si satpam,Negatif,Lainnya
korban di bawah umur?,korban baah umur,Negatif,Lainnya
Siap2 lu disiksa disel blokkkk,siap lu siksa disel,Netral,Lainnya
Titip ke abang² didalam sel sana kasih orang ini salam olah raga 3X sehari terimaksih,p abang dalam sel sana kasih orang salam olah raga x hari,Negatif,Lainnya
Padahal udah nikah ya? Kenapa tidak mendatangi istrinya ya. 😒,padahal udah nikah kenapa,Negatif,Lainnya
😂😂😂😂 udah punya istri???🤨🤨😬 kurang apa lagi kau ko...ck...ckk ko..🥱😫🙈,udah punya istri kurang apa kau c,Negatif,Lainnya
Satanist wajib dikebiri,satanist ajib,Netral,Lainnya
Koo bisa siiiii😢😢😢😢 ko tega,k si ko,Negatif,Sedih
"Udah praktek di RS bagus padahal ,",udah praktek rs bagus,Netral,Lainnya
Idih si anjing sialan,idih si anjing,Negatif,Marah
Itu udh tunangan apa udh nikah ?,itdh tunang apa udh nikah,Negatif,Lainnya
Sakit jiwa😮,sakit jia,Netral,Lainnya
Oh sdh beristri?,sdh istri,Netral,Lainnya
Kalo ga kebongkar mau jadi apa nanti kalo sudah praktek?? bahaya sekali.,kalo ga bongkar mau jadi apa kalo praktek bahaya,Negatif,Takut
"Haha yg tau2 aja deh kelakuan dokter ke gmna,, TPI tidak semua ya",yg tau aja deh laku dokter tidak semua,Negatif,Lainnya
"ini viral bngt di x, sampe kena doxing loh 😮, siap² tuh 😂",viral bngt sampe kena doxing loh siap tuh,Negatif,Lainnya
Save Foto Nya Buat Sanksi Sosial Yang Nyata,save foto nya buat sanksi sosial,Negatif,Lainnya
"Mending temen gw deh walaupun ga punya gelar dokter, tapi dia kalo sagne sewa LC :),",mending temen g deh alau ga punya gelar dia kalo sagne sea lc,Negatif,Lainnya
Baca nih guys koq rada mirip dg kasus yg dulu yak @listyaninuri @yuyung146951 🤦🏻‍♀️,baca nih guys koq rada mirip dg kasus yg dulu yak,Negatif,Lainnya
Saya dengar korban di bawah usia.. apa benar?😢,dengar korban baah apa benar,Negatif,Sedih
Sekali lagi bukti muka kalem bukan bearti ya 😂,sekali bukti mulem bukan bearti,Negatif,Lainnya
Yakin korbannya cuma 1 ?,yakin korbaya cuma,Netral,Lainnya
Cari 1 lagi pelaku sama si satpam,cari laku sama si,Negatif,Lainnya
Tampang nya kaya org bener,tampang nya kaya org,Netral,Lainnya
Siapa lagi yg bisa di percaya di negara ku ini😢😢,siapa yg percaya di negara ku ini,Negatif,Sedih
"blm pasien woi,,yg nunggu pasien",blm pasien nunu,Negatif,Lainnya
cukup di sayangkan.gelar yg susah payah di tempuh hancur dalam sekejap mata.dokter kan sdh beristri ngapain ngelakuin hal itu ke wanita lain.emang kalau lg ngebet ya plg lah dr pd spt itu.merusak karier yg sdh di bangun dgn susah payah,cukup yg susah payah tempuancur kejap kan sdh istri ngapaigelakuin itu anita kalau lg ngebet plg lah dr pd spt yg sdh bangun dgn susah,Netral,Lainnya
Semoga Allah dampingi Korban melwati segla bntuk trauma yg dia rasain tiap detiknya😢,semogah damping korban melati segla bntuk trauma yg rasain tiap detik,Negatif,Sedih
Asas praduga tak bersalah tetap berlaku jadi jgn buru2 menghakimi beliau,praduga tak salah tetap laku jadi jgn buru hakim,Negatif,Lainnya
demi kenikmatan yg cuma beeapa menit aja tapi menghancurkan hidup orang lain dan dirinya seumur hidup,nikmat yg cuma bapa menit aja hancur hidup orang dan diri umur,Negatif,Lainnya
Dia kenapaa??? Ada masalah??? Ko bisa..,kenap masalah ko,Netral,Lainnya
"Maaf mungkin sebagai pertimbangan saat menjadi penunggu pasien atau keluarga pasien, apabila ada dokter yg memberi penjelasan atau instruksi tanpa di dampingi perawat, baiknya di konfirmasi lagi ke perawat penanggung jawabnya.. Terkadang residen itu ujug2 ke pasien tanpa menyampaikan ke perawat dulu.. 🙏🙏",mf mungkin timbang st jadi tunu pasien keluarga apabilda dokter yg beri jelas instruksi damping baik di konfirmasi peraat penanung terkadang residen itjug pasien sampai ke peraat,Negatif,Lainnya
"Ini file di HPnya banyak porno dan game kekerasan gak ya? Coba HP pelaku diperiksa jg biar makin ketauan banyaknya korban, motif perilaku dan kejiwaannya, entah bs jg didokumentasikan... Ini udah masuk psikopat sepertinya.. Karena sudah hilang kasihannya kepada korban yang sedang dalam kesusahan bapaknya sakit ehh malah dieksploitasi.. Sakit",file hpnya banyak porno game rasan gak coba hela periksa jg biar makin tau banyak motif perilaku entah bs jg udah masuk psikopat sudailang kasihaya korban sedang susah bapak sakit e malah,Netral,Lainnya
apa karna anu nya gerah ya?🤔,apa karnnu nya gerah,Negatif,Lainnya
Wah hancur seketika karirmu demi 5 menit,aancur seketirirmu,Netral,Lainnya
tegaaa lu yaaaa,tega lu,Negatif,Lainnya
Malu2 nama universitas..,malu nama,Netral,Lainnya
Njir baru ditetapkan,njir baru,Netral,Lainnya
Untung si cewe gercep periksa,untung si cee,Negatif,Lainnya
Cabut gelar dokternya dan periksa universitas Kristennya malu-maluin aja lulusin orang macam begini,cabut gelar dokter periksa universitas kristeya malu maluin aja sin orang macam,Negatif,Lainnya
"YA ALLAH dokter anastesi loh dokter yg menjembatani dalam jalan nya semua operasi agar memberikan kenyamanan terhadap pasien supaya pasien tidak merasakan sakit malah melakukan hal KEJI terhadap anak pasien nya sendiri . selain merusak tanggung jawab sebagai dokter , sudah merugikan dan menghancurkan mental orang lain HUKUM MATI!!! neraka menantimu!",yah dokter anastesi loh dokter yg jembatan jalaya semua operasi beri kenyam terhadaasien pasien rasa sakit malah laku keji anak pasieya rusak tanung jaab dokter rugi hancur mental orang hukuati neraka nanti,Negatif,Lainnya
Bahaya nih apalagi dia dokter,bahaya nih dia,Negatif,Takut
Dari kondisinya harusnya dia berkecukupan kenapa harus gitu sih mending sewa aja gak sih sama2 nguntungin,kondisi harus cukup harus gitu sih mending seja gak sih sama,Negatif,Lainnya
Info pelaku sudah dipecat dr kedokteran belum ya,info laku pecat dr dokter,Negatif,Lainnya
Waahhh takutnya dulu 2 ada yg gituin tapi tdk paHAM..tidak ada sosmed.gaptek,h takut dulu yituin tdk ada,Takut,Takut
Itu nikahnya jg kayanya di hotel mewahb,nikah jg kaya hotel,Negatif,Lainnya
"Sekolah tinggi tinggi jadi dokter, endingnya seperti itu😢",sekolah jadi endingnya seperttu,Negatif,Sedih
😢😢😢😢😢😢gak habis pikri,gak habis,Negatif,Sedih
Dia dah nikah?,dah nikah,Netral,Lainnya
Sayang bgt sekolahnya padahal jadi dokter butuh modal banyak,sayang bgt sekolah padahal jadi dokter butuh modal,Netral,Lainnya
Nafsu menghancurkan segalanya 🔥,nafsu hancur segala,Negatif,Lainnya
Ini pasti bukan korban pertama. Perhatiin ga sih dia itu anesthesiologists? Why do you think he choose that?,pasti bukan korban perhatn ga sih itu anesthesiologists hy do you think he chse that,Netral,Lainnya
Genre favorite nya hospital kayaknya,genre favorite nya hospital,Negatif,Lainnya
Kacau banget ya ampun,kacau banget,Negatif,Lainnya
"Komen yg bijak, jangan bawa agama",komen yg jangan,Netral,Lainnya
Kawal terus jgn sampe keluar penjara,kaal terus jgn sampe keluar,Negatif,Lainnya
Dokter cabull😡,dokter cabu,Negatif,Marah
Sudah nikah.minta sm istri bang 🤣🤣🤣,sm istri bang,Negatif,Lainnya
Sakit nih dokter,sakit nih,Netral,Lainnya
Hukuman apa yg setimpal?!!! 🔥,hukum apa yg timpal,Negatif,Lainnya
Scurity ga di tampakin pak @humaspoldajabar @polrestabandung,scurity ga tampakin pak,Negatif,Lainnya
Mngerikan sekali bagai mana jaminan keamanan .. pasien yg oprasi tanpa pndampingan keluarga ...,mngerikan sekali bagai mana jamin pasien yg oprasi pndampingan,Netral,Takut
"Klo dokternya laki pasiennya laki aja, klo untuk pasien perempuan jg dokter perempuan. Ihhhh jd parno sm tenaga medis 😢😢😢😢😢",klo dokter laki pasieya laki klo pasien perempuan jg dokter i jd parno sm tenaga medis,Negatif,Sedih
Jadi Ngeri..bener berarti Suami ku bilang Cari dokter Cewe Aja biar Aman..,jadi bener arti suami ku bilang cari dokter cee aja biar,Netral,Takut
Jd curiga selama ini dokter yg lain gmn?,jd curiga lama dokter yg gmn,Negatif,Lainnya
Lohhh??? Udah nikah??? 😭 Kasihan istrinya,loh udah nikah kasihan,Negatif,Sedih
Pdhal udh punya istri..,pdhal udh punya,Netral,Lainnya
Bro kira Jony sins 😂,bro kira jony sins,Netral,Lainnya
Sayang banget dah sekolah mahal dapat gelar cuma sia sia akhirnya,sayang banget dah sekolah mahal gelar cuma,Netral,Lainnya
mukanya mirip sama anak yang menghina Palestina di mekdi,muka mirip samnak hina palestina,Negatif,Lainnya
Ga sia² lu belajar selama ini 😂,ga sia lu ajar lama,Negatif,Lainnya
"padahal udah enak loh hidupnya, udah punya anak & istri, gelar, pekerjaan yg mapan, kaya raya,, apalah orgg inii😢",padahal udah enak udah punynak pekerjn yg kaya or in,Negatif,Sedih
Itu dokter n perawat ruangan pada kemana pasennya dibawa ke ruang sepi tengah mlm usut tuntas,dokter n peraat ruang mana paseya dibaa ruang sepi tengah mlm,Negatif,Lainnya
"Nikmat sesaat karir hancur selamanya, sangat disayangkan udah keluar duit bnyk utk sekolah tinggi 😢",nikmat sest karir hancur sangat sayang udah keluar duit bnyk utk sekolah tin,Negatif,Sedih
resiko terberatnya dipecat dr kedokteran dan diusir dari KK dan diceraikan istrinya..,resiko berat pecat dr dokter usir dan cerai,Negatif,Lainnya
Karir yang dikejar mati”an malah habis sekali crot😂😂😂😂,karir kejar mati an malaabiekali crot,Negatif,Lainnya
Sekolah spesialis disalah gunakan akhirnya dipecat kasihan yg jd korban,sekolah spesialis salah guna akhir pecat kasihan yg jd,Negatif,Lainnya
Tebak agamanya apa?,tebak agamanypa,Negatif,Lainnya
"Huuhh mahal""jdi dokter 😡",h jdi dokter,Negatif,Marah
Universitas swasta bisa lanjut ke universitas negeri top? Bukannya sulit banget masuknya?,universitaasta lanjut universitas negeri top bukaya sulit banget masuk,Netral,Lainnya
"nanti kalo sudah bebas, dia akan melakukan hal yg sama lagi kah?",kalo kan laku yg sama kah,Negatif,Lainnya
"RSHS ini banyak bnget keluhannya 😭 waktu itu ttng perempuan yg meninggal karna cabut gigi bungsu, skrg kaos kaos☹️",rshs banyak bnget keluhaya aktu ng perempuan yg tal karna cabut skrg,Negatif,Sedih
Bukan org indonesia ya ?,bukan org indonesia,Negatif,Lainnya
wess elekkkk kakean polah,e ele kakean,Negatif,Lainnya
Senah universitas a disini universitas b kumaha ieu,senah universitas a sini universitas b maha,Netral,Lainnya
Shame on you 🤮,shame on you,Netral,Lainnya
Emangnya donor darah bisa langsung di pakai? Dari org PMi blg harus di olah dulu.. Dan kenapa bisa di bius gitu ya..,emang donor darah langsung pakai org pmi blg di olah kenapa di bius gitu,Netral,Lainnya
Layak dihukum berat,layak hukum,Negatif,Lainnya
"Dia sekolah tinggi"" Gaji gede. Gk ngarti aplikasi ijo x yh 😂",sekolah gaji gk ngarti aplikasjo x yh,Negatif,Lainnya
Astagfirullah bgmn perasaan korban? Bpk ibunya ? Istrinya ??? Kenapa dokter ini ?!!!!!!!😢😢😢😢😢😢,astagfiruah bgmn perasn korban bpk ibu istri dokter,Negatif,Sedih
Kasihan istri dan orang tuanya.. habis sehabis-habisnya,kasihan istri orang habiehabis,Negatif,Lainnya
Tolong Hukum seberat-beratnya,hukum berat,Negatif,Lainnya
Oknum dokter anjeng,oknum dokter,Negatif,Lainnya
Tolol bner ni orang duit lu buat apa woy 🤦,t bner ni orang duit lu buat apa oy,Negatif,Lainnya
Rekaman Cctv nya ad ga??,rekam tv nyd ga,Negatif,Lainnya
Dokter lobang 200-300 ribu gakuat beli bang??,dokter lobang ribu gakuat beli bang,Negatif,Lainnya
Alasan ga percaya dogter,alas ga percaya,Negatif,Lainnya
Rumah sakit gede loh padahal.. Gimana sih malah mengurangi rasa kepercayaan dr masyarakat,rumah sakit gede loh gimana sih malah kurang rasa kepercayn dr,Negatif,Lainnya
HARUS CABUT GELAR DOKTERNYA DAN HUKUM SEBERAT BERATNYA KARENA TINDAKAN ASUSILA PLUS KELALAIAN TERHADAP PASIEN SAMPAI PASIEN MENINGGAL DUNIA,cabut gelar dokter hukum senya tindak asusila plus keian terhadaasien pasien tal,Negatif,Lainnya
Keluarga ya pasti malu,keluarga pasti,Netral,Lainnya
udah punya istri masih ngelecehin cewek lain? GAADA OTAK,udah punya istri ngelecehin ceek gda,Negatif,Lainnya
Muka dan ID satpam nya donk di spill jg.,muka id satpam nya donk spi,Negatif,Lainnya
Ppuan cantik sila pilih laki hensem untuk masa depan terjamin selamat 😂,uan cantik sila pilih laki hensem masa depan jamin selamat,Positif,Lainnya
Universitas apa Maranatha? Astaga malu²in agama 😶‍🌫️,universitas apa maranatha astaga malu in agama,Negatif,Lainnya
anjir mahal-mahal sekolah dokter masuk penjara krna kasus tali air,anjir mahal mahal sekolah dokter masuk penjara krna kasus tali,Negatif,Marah
"makax sebisa mngkin kalo ada amit amit sakit diusahakan herbal dulu rawat jalan,, sdh pernah lumpuh di rumh skit bolk balik tiap dipegang dokter cowok aku menolak ,harus yg nanganin prempuan, itupun liat dokternya kalo dokternya Uda sepuh keliatan kebapakan , mengayomi agak lega",makax bisa mngkin kalo admit amit sakit usaha herbal dulu raat pernah lumpuh rumh skit bolk balik tiap pegang dokter cook aku tolak yg nanganin itu liat dokter kalo dokter uda sepuh liat bapa,Netral,Lainnya
Duhhhh udh nikah dia 😮,du udh nikah,Negatif,Lainnya
Beritanya bukan pasien min ...tapi anak dari pasien,berita bukan pasien anak,Negatif,Lainnya
Semua dokter kayak gini ni kelakuannya udh pasti,semua dokter kayak gi kelakuaya udh,Netral,Lainnya
"Sekelas dokter gampang banget dapatin wanita, ga harus gitu juga...",kelas dokter gampang banget dapatin ga gitu,Negatif,Lainnya
Itu pihak rmh skt jg hrs diproses. Mana ada dokter dan pasien dibiarkan berdua. Perawatnya mana??,pihak rmh skt jg hrs manda dokter pasien biar peraatnya mana,Netral,Lainnya
"Ngapain bgtu coba tinggal aja pas turun praktek trus karokean kan banyak tuh yg bisa di ajak ewong , bayar trus pulang kan ?",ngapain bgtu coba tal aja pas turun praktek trus karokean kan banyak tuh yg di ajak eong trus pulang kan,Netral,Lainnya
Muka jurig sia,muka jurig,Negatif,Lainnya
Bs auto bangkrut kah rs nya krn kasus ini?,bs auto bangkrut rs nya krn kasus,Negatif,Lainnya
mungkin dia lg pingin jd yg ada aja disabet 😢😢👏,mungkin lg pingin jd yg adja sabet,Negatif,Sedih
Aku permah op gigi bungsu bius total jadi ovt soalnya aku cuma pake baju pasien yg belakangmya bolong gtu😭 pake daleman doang,aku mah op bungsu bius total jadi ovt soalnyku cuma pake baju pasien yg belakangmya bolontu pake dalem,Negatif,Sedih
Kemaren baca berita di tv UNPAD dan yng diperkaos keluarga pasien,kemaren baca berita tv unpaan yng kaos keluarga,Negatif,Lainnya
Semoga korban yg lainnya segera lapor.... Curiga bukan pertama praktek beginian nya.. Kopo elok !!,moga korban yg laiya segera curiga bukan pertama praktek kopo elok,Netral,Lainnya
"Pdhl istrinya cantik loh,heran sama manusia kek gini 😢",pdhl istri cantik sanusia kek gin,Negatif,Sedih
Kelainan apa yaa ..,lain apa,Negatif,Lainnya
Nah gini mukanya ditampilkan,nah gin muka,Negatif,Lainnya
Manehhh..sakola mahal mahal.lain jd jelema bener.coba,jd jelema,Netral,Lainnya
"Ya Allah Innalillahi wa innailaihi rojiun... Lindungilah kami dan keluarga kami dari marabahaya apapun ya Allah 🤲🤲🤲.. sedih, nyesek mbaknya udah digituin+bapaknya meninggal 😢",yah ialiahi a iailaihi lindung dan keluarga dari marabahaypapun yah nyesek mbak udah digituin bapak tal,Sedih,Sedih
"selama mereka punya uang yaudah kek dram2 , tp di drama jg mereka bakal dapetin hukuman lebih pedih pasti",lama punya uang yaudah kek dram drama jg bakal dapetin hukum lebih pedih,Netral,Lainnya
Korban nya umur brpa?,korbaya umur brpa,Negatif,Lainnya
Yang viralin ini nonton berita dulu gak? Mahasiswa mana nu bener atuh,virali nonton berita dulu gak mahasisa mana nu bener,Netral,Lainnya
Istrinya pasti malu nih,istri malu,Positif,Lainnya
Pinter dokter tpi gilaa akhlakknya sedeng,pinter dokter tpi gil akhlanya,Negatif,Lainnya
Anjir dah nikah padahal.,anjir dah nikah,Negatif,Marah
Ini ceritanya salah banget deh.. Bukan pasiennya tapi pendonor pasien. Please sebelum post bacanya yang bener beritanyaa,cerita salah banget bukan pasieya donor pleabelum post bacanng bener,Netral,Marah
"Tak semua dokter gitu,
Dia punya kelainan,cuma kadang yang lain kena",tak semua dokter punya kadang lain,Negatif,Lainnya
"Nama baik itu mahal banget, karir, keluarga , reputasi hancur dalam sekejap.",nama baik mahal keluarga hancur,Negatif,Lainnya
Orang ada ..dokter pula ..emang ga sanggup jajan gitu 👏,orang dokter emana sanup n gitu,Negatif,Lainnya
Spil ig nya,spil ig,Negatif,Lainnya
Tukang bius nyambi jadi tukang kaos 😂,tukang bius nyambi jadi tukang kaos,Negatif,Lainnya
Astaghfirullah sakit hati banget 😢,astaghfiruah sakit hati banget,Negatif,Sedih
Hidden by Instagram,hien by,Negatif,Lainnya
Njir wajahnya 😢,njir ajahnya,Negatif,Sedih
Dan bapaknya yg ditunggu ini meninggal dunia… kebayang perasaan korban 🥹🥹🥹,bapak yg tunu tal dunia bayang perasn korban,Negatif,Lainnya
Bikin malu anak maranatha aja 😥😥,bikin malu anak maranathja,Negatif,Sedih
Boikot di segala rumah sakit dah tempat instansi yg lain.. Kasih sangsi sosial.. Jauhkan dr masyarakat.. Bayar ganti rugi kpd korban .. Lalu penjara seumur hdp,boikot segala rumah sakit dah tempat instansi yg kasih sangsi jauh dr bayar ganti rugi kpd lalu penjara umur,Negatif,Lainnya
Kebanyakan makan uang haram mungkin,banyak makan uang,Negatif,Lainnya
Bikin malu profesi aja,bikin malu profesi,Netral,Lainnya
Kegblk an satu dokter bisa mencoreng nama dokter seindonesia raya merdeka,kegblk an satu dokter coreng nama dokter indonesia raya,Netral,Lainnya
Yg sekolah tinggi aja bgtuu kelkuanya,yg sekolah tin aja bgt,Negatif,Lainnya
Gara2 nafsu sesaat. Rusak karir seumur hidup 😂,gara nafsu rusaarir umur hidup,Negatif,Lainnya
"Cape cape sekolah kedokteran , ILANG grgr hawa nafsuuuu",sekolah dokter haa,Negatif,Lainnya
Buat malu isteri saja,buat malu isteri,Negatif,Lainnya
Mohon warga sana kasih paham si bejat ini,mohon arga sana kasih paham si bejat,Negatif,Lainnya
Habis loh dipenjara...😂😂...malu2 in aja,habis loh malu in,Negatif,Lainnya
Hallow bg napi senior ...tolong di bina nih ...dilapas terserah mo kek mana di bentuk binaannya,hao bg napi bina dilapas serah mo kek mana di bentuk,Negatif,Lainnya
Amit2.. nugelo ! Liat nih nonk.. @rachelaldillaa,nugelo liat nih,Negatif,Lainnya
bapaknya korban pasti marah banget tapi jiwany udah melayang gabisa apa apa 😢,bapak korban marah bangeapi jiany udah melayanabisppa,Marah,Marah
Laki2 pada kenapa sih? Gk bs kendalikan nafsu birahi?😢,laki kenapa sih gk bs kendalikaafsu birah,Negatif,Sedih
Hancur sehancur nya perasaan istrinya,hancur hancur nya perasn,Negatif,Lainnya
Nyampe sini dok beritanya @drg.mirza,nyampe sini dok berita,Negatif,Lainnya
Jangan mau dirawat sama dokter cabuĺ,jangan mau diraat sama dokter cabu,Negatif,Lainnya
Naudzubillah min dzalik !! Hukum seberat2nya dan keadilan utk korban 😢😢😢,naudzubiah min dzalik hukum berat adil utorban,Negatif,Sedih
"Sangat memalukan dan terhina, mencoreng almamater",sangat malu coreng,Negatif,Lainnya
Skolah tinggi2 pilih nya jeruji besi😂,skolah tin pilih nya jeruji besi,Negatif,Lainnya
